Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
227.5,2,Louisiana,,36,48,,Aug 16,,,,,,,,Clarus-2
199.0,3,Louisiana,,32,44,,Jul 19,,,,,,,,PPP-3
175.0,1,Louisiana,,35,53,,Jun 24,,,,,,,,Rasmussen-1
163.5,2,Louisiana,,37,46,,Jun 13,,,,,,,,PPP-2
111.0,5,Louisiana,,31,49,,Apr 23,,,,,,,,Opinion Research-5
 97.0,1,Louisiana,,36,52,,Apr 07,,,,,,,,Rasmussen-1
 69.0,1,Louisiana,,33,57,,Mar 10,,,,,,,,Rasmussen-1
 41.0,1,Louisiana,,33,57,,Feb 10,,,,,,,,Rasmussen-1
 14.0,1,Louisiana,,35,53,,Jan 14,,,,,,,,Rasmussen-1
  8.5,6,Louisiana,,32,52,,Jan 11,,,,,,,,Polimetrix-6
297.0,1,Maryland,,56,38,,Oct 24,,,,,,,,Rasmussen-1
293.5,4,Maryland,,64,27,,Oct 22,,,,,,,,Washington Post-4
290.5,6,Maryland,,59,32,,Oct 20,,,,,,,,OpinionWorks-6
286.5,6,Maryland,,55,38,,Oct 16,,,,,,,,Gonzales Research-6
281.5,16,Maryland,,55,38,,Oct 16,,,,,,,,Gonzales Research-16
267.0,5,Maryland,,61,29,,Sep 26,,,,,,,,Washington Post-5
258.0,1,Maryland,,54,38,,Sep 15,,,,,,,,Rasmussen-1
229.0,1,Maryland,,55,39,,Aug 17,,,,,,,,Rasmussen-1
192.0,3,Maryland,,59,27,,Jul 12,,,,,,,,PPP-3
189.0,1,Maryland,,58,33,,Jul 08,,,,,,,,Rasmussen-1
296.5,8,Missouri,,41,54,,Oct 27,,,,,,,,Missouri State U.-8
292.0,1,Missouri,,43,52,,Oct 19,,,,,,,,Rasmussen-1
292.0,3,Missouri,,40,49,,Oct 20,,,,,,,,Mason Dixon-3
290.5,2,Missouri,,41,46,,Oct 18,,,,,,,,PPP-2
289.0,1,Missouri,,43,49,,Oct 16,,,,,,,,Pulse Opinion Research-1
278.0,1,Missouri,,43,51,,Oct 05,,,,,,,,Rasmussen-1
276.0,5,Missouri,,40,53,,Oct 05,,,,,,,,Opinion Research-5
275.0,1,Missouri,,42,50,,Oct 02,,,,,,,,Pulse Opinion Research-1
264.0,1,Missouri,,44,52,,Sep 21,,,,,,,,Rasmussen-1
259.0,5,Missouri,,39,43,,Sep 18,,,,,,,,Global Strategy-5
250.0,1,Missouri,,43,53,,Sep 07,,,,,,,,Rasmussen-1
235.0,1,Missouri,,40,51,,Aug 23,,,,,,,,Rasmussen-1
226.5,2,Missouri,,38,45,,Aug 15,,,,,,,,PPP-2
226.5,16,Missouri,,48,49,,Aug 22,,,,,,,,Missouri State U.-16
222.0,1,Missouri,,43,50,,Aug 10,,,,,,,,Rasmussen-1
208.0,1,Missouri,,43,49,,Jul 27,,,,,,,,Rasmussen-1
201.0,3,Missouri,,42,48,,Jul 21,,,,,,,,Mason Dixon-3
194.0,1,Missouri,,45,47,,Jul 13,,,,,,,,Rasmussen-1
179.0,1,Missouri,,43,48,,Jun 28,,,,,,,,Rasmussen-1
153.0,1,Missouri,,44,45,,Jun 02,,,,,,,,Rasmussen-1
123.0,1,Missouri,,42,50,,May 03,,,,,,,,Rasmussen-1
 96.0,1,Missouri,,42,48,,Apr 06,,,,,,,,Rasmussen-1
 86.5,2,Missouri,,41,45,,Mar 28,,,,,,,,PPP-2
 68.0,1,Missouri,,41,47,,Mar 09,,,,,,,,Rasmussen-1
 41.0,1,Missouri,,42,49,,Feb 10,,,,,,,,Rasmussen-1
 19.0,1,Missouri,,43,49,,Jan 19,,,,,,,,Rasmussen-1
 10.5,2,Missouri,,45,44,,Jan 11,,,,,,,,PPP-2
  8.5,6,Missouri,,43,39,,Jan 11,,,,,,,,Polimetrix-6
299.0,3,Nevada,,45,49,,Oct 27,,,,,,,,Mason Dixon-3
298.0,1,Nevada,,45,49,,Oct 25,,,,,,,,Rasmussen-1
296.0,7,Nevada,,45,49,,Oct 26,,,,,,,,Opinion Research-7
290.0,1,Nevada,,47,50,,Oct 17,,,,,,,,Rasmussen-1
284.5,2,Nevada,,45,47,,Oct 12,,,,,,,,Mason Dixon-2
284.0,1,Nevada,,48,49,,Oct 11,,,,,,,,Rasmussen-1
282.0,1,Nevada,,47,49,,Oct 09,,,,,,,,Pulse Opinion Research-1
281.5,4,Nevada,,45,43,,Oct 10,,,,,,,,Suffolk U.-4
281.0,3,Nevada,,49,48,,Oct 09,,,,,,,,PPP-3
278.0,1,Nevada,,46,50,,Oct 05,,,,,,,,Rasmussen-1
276.0,5,Nevada,,40,42,,Oct 05,,,,,,,,Opinion Research-5
271.0,1,Nevada,,48,47,,Sep 28,,,,,,,,Rasmussen-1
264.0,3,Nevada,,43,43,,Sep 22,,,,,,,,Mason Dixon-3
261.0,1,Nevada,,45,46,,Sep 18,,,,,,,,Pulse Opinion Res.-1
256.0,1,Nevada,,48,48,,Sep 13,,,,,,,,Rasmussen-1
255.0,5,Nevada,,41,42,,Sep 14,,,,,,,,Opinion Research-5
254.0,1,Nevada,,44,45,,Sep 11,,,,,,,,Pulse Opinion Res.-1
254.0,3,Nevada,,46,44,,Sep 12,,,,,,,,IPSOS-3
251.0,3,Nevada,,46,44,,Sep 09,,,,,,,,Mason Dixon-3
244.0,1,Nevada,,50,47,,Sep 01,,,,,,,,Rasmussen-1
236.0,3,Nevada,,45,44,,Aug 25,,,,,,,,Mason Dixon-3
228.0,1,Nevada,,47,47,,Aug 16,,,,,,,,Rasmussen-1
222.0,3,Nevada,,46,44,,Aug 11,,,,,,,,Mason Dixon-3
212.0,3,Nevada,,48,44,,Aug 01,,,,,,,,IPSOS-3
208.0,1,Nevada,,45,43,,Jul 27,,,,,,,,Rasmussen-1
208.0,3,Nevada,,43,42,,Jul 28,,,,,,,,Mason Dixon-3
198.0,3,Nevada,,48,46,,Jul 18,,,,,,,,PPP-3
194.0,3,Nevada,,44,37,,Jul 14,,,,,,,,Mason Dixon-3
193.0,1,Nevada,,43,46,,Jul 12,,,,,,,,Rasmussen-1
173.0,1,Nevada,,41,48,,Jun 22,,,,,,,,Rasmussen-1
160.0,1,Nevada,,39,50,,Jun 09,,,,,,,,Rasmussen-1
153.0,3,Nevada,,41,44,,Jun 03,,,,,,,,Mason Dixon-3
145.0,3,Nevada,,42,39,,May 26,,,,,,,,Mason Dixon-3
117.0,1,Nevada,,40,48,,Apr 27,,,,,,,,Rasmussen-1
 90.0,1,Nevada,,40,51,,Mar 31,,,,,,,,Rasmussen-1
 62.0,1,Nevada,,38,46,,Mar 03,,,,,,,,Rasmussen-1
 54.0,3,Nevada,,42,44,,Feb 24,,,,,,,,Mason Dixon-3
 33.0,1,Nevada,,40,44,,Feb 02,,,,,,,,Rasmussen-1
 11.0,1,Nevada,,40,44,,Jan 11,,,,,,,,Rasmussen-1
  6.0,3,Nevada,,40,45,,Jan 07,,,,,,,,Mason Dixon-3
301.0,3,New Hampshire,,41,56,,Oct 29,,,,,,,,PPP-3
283.0,1,New Hampshire,,44,51,,Oct 10,,,,,,,,Rasmussen-1
282.5,6,New Hampshire,,35,50,,Oct 12,,,,,,,,U. of New Hampshire-6
277.0,3,New Hampshire,,42,47,,Oct 05,,,,,,,,ARG-3
269.0,7,New Hampshire,,35,50,,Sep 29,,,,,,,,U. of New Hampshire-7
267.0,5,New Hampshire,,32,46,,Sep 26,,,,,,,,ARG-5
258.0,1,New Hampshire,,44,51,,Sep 15,,,,,,,,Rasmussen-1
254.5,2,New Hampshire,,43,47,,Sep 12,,,,,,,,PPP-2
217.0,1,New Hampshire,,38,51,,Aug 05,,,,,,,,Rasmussen-1
205.0,3,New Hampshire,,42,45,,Jul 25,,,,,,,,PPP-3
204.0,9,New Hampshire,,37,45,,Jul 27,,,,,,,,U. of New Hampshire-9
193.0,1,New Hampshire,,37,49,,Jul 12,,,,,,,,Rasmussen-1
131.0,1,New Hampshire,,38,50,,May 11,,,,,,,,Rasmussen-1
113.0,11,New Hampshire,,32,47,,Apr 28,,,,,,,,U. of New Hampshire-11
107.5,2,New Hampshire,,40,47,,Apr 18,,,,,,,,PPP-2
 97.0,1,New Hampshire,,35,50,,Apr 07,,,,,,,,Rasmussen-1
 67.0,1,New Hampshire,,37,47,,Mar 08,,,,,,,,Rasmussen-1
 41.0,1,New Hampshire,,39,46,,Feb 10,,,,,,,,Rasmussen-1
 30.5,8,New Hampshire,,33,41,,Feb 03,,,,,,,,U. of New Hampshire-8
 12.0,1,New Hampshire,,40,49,,Jan 12,,,,,,,,Rasmussen-1
299.5,4,New York,,57,33,,Oct 28,,,,,,,,YouGov-4
294.0,7,New York,,57,34,,Oct 24,,,,,,,,Quinnipiac U.-7
292.0,1,New York,,54,33,,Oct 19,,,,,,,,Rasmussen-1
292.0,3,New York,,56,38,,Oct 20,,,,,,,,Marist Coll.-3
289.0,5,New York,,60,31,,Oct 18,,,,,,,,Siena Coll.-5
285.5,6,New York,,50,25,,Oct 15,,,,,,,,NY Times-6
285.0,3,New York,,54,36,,Oct 13,,,,,,,,SurveyUSA-3
279.0,3,New York,,54,35,,Oct 07,,,,,,,,SurveyUSA-3
276.0,5,New York,,55,34,,Oct 05,,,,,,,,Quinnipiac U.-5
276.0,5,New York,,55,41,,Oct 05,,,,,,,,Opinion Research-5
275.0,3,New York,,50,40,,Oct 03,,,,,,,,PPP-3
263.5,2,New York,,45,44,,Sep 21,,,,,,,,SurveyUSA-2
263.5,4,New York,,52,41,,Sep 22,,,,,,,,Marist Coll.-4
261.0,5,New York,,48,42,,Sep 20,,,,,,,,Quinnipiac U.-5
259.5,2,New York,,57,31,,Sep 17,,,,,,,,Siena Coll.-2
259.0,1,New York,,49,39,,Sep 16,,,,,,,,Rasmussen-1
244.0,1,New York,,51,31,,Sep 01,,,,,,,,Rasmussen-1
224.5,8,New York,,54,29,,Aug 16,,,,,,,,Siena Coll.-8
296.5,4,North Carolina,,38,53,,Oct 25,,,,,,,,SurveyUSA-4
289.0,3,North Carolina,,40,48,,Oct 17,,,,,,,,PPP-3
285.0,1,North Carolina,,38,52,,Oct 12,,,,,,,,Rasmussen-1
270.5,6,North Carolina,,31,45,,Sep 30,,,,,,,,High Point University-6
267.5,4,North Carolina,,36,49,,Sep 26,,,,,,,,PPP-4
254.5,4,North Carolina,,34,58,,Sep 13,,,,,,,,SurveyUSA-4
251.0,1,North Carolina,,38,54,,Sep 08,,,,,,,,Rasmussen-1
240.0,3,North Carolina,,38,43,,Aug 29,,,,,,,,PPP-3
215.0,1,North Carolina,,40,49,,Aug 03,,,,,,,,Rasmussen-1
210.0,5,North Carolina,,37,39,,Jul 31,,,,,,,,PPP-5
190.5,4,North Carolina,,36,46,,Jul 11,,,,,,,,SurveyUSA-4
187.0,1,North Carolina,,37,52,,Jul 06,,,,,,,,Rasmussen-1
177.5,2,North Carolina,,33,38,,Jun 27,,,,,,,,PPP-2
174.5,2,North Carolina,,40,50,,Jun 24,,,,,,,,SurveyUSA-2
174.0,1,North Carolina,,43,44,,Jun 23,,,,,,,,Rasmussen-1
156.0,3,North Carolina,,39,46,,Jun 06,,,,,,,,PPP-3
154.0,1,North Carolina,,36,50,,Jun 03,,,,,,,,Rasmussen-1
129.0,3,North Carolina,,42,43,,May 10,,,,,,,,PPP-3
125.0,1,North Carolina,,40,48,,May 05,,,,,,,,Rasmussen-1
109.0,1,North Carolina,,32,50,,Apr 19,,,,,,,,Rasmussen-1
 99.5,4,North Carolina,,37,43,,Apr 11,,,,,,,,PPP-4
 81.0,1,North Carolina,,35,51,,Mar 22,,,,,,,,Rasmussen-1
 72.5,4,North Carolina,,36,41,,Mar 15,,,,,,,,PPP-4
 54.0,1,North Carolina,,34,50,,Feb 23,,,,,,,,Rasmussen-1
 47.0,3,North Carolina,,29,54,,Feb 17,,,,,,,,Mason Dixon-3
 44.5,4,North Carolina,,33,43,,Feb 15,,,,,,,,PPP-4
 27.0,1,North Carolina,,37,47,,Jan 27,,,,,,,,Rasmussen-1
 16.5,4,North Carolina,,37,44,,Jan 18,,,,,,,,PPP-4
293.0,1,North Dakota,,25,72,,Oct 20,,,,,,,,Rasmussen-1
263.5,2,North Dakota,,25,68,,Sep 21,,,,,,,,Rasmussen-2
222.5,2,North Dakota,,25,69,,Aug 11,,,,,,,,Rasmussen-2
202.0,1,North Dakota,,22,69,,Jul 21,,,,,,,,Rasmussen-1
166.5,2,North Dakota,,19,73,,Jun 16,,,,,,,,Rasmussen-2
138.5,2,North Dakota,,23,72,,May 19,,,,,,,,Rasmussen-2
110.0,1,North Dakota,,24,69,,Apr 20,,,,,,,,Rasmussen-1
 82.0,1,North Dakota,,25,68,,Mar 23,,,,,,,,Rasmussen-1
 40.5,2,North Dakota,,17,71,,Feb 10,,,,,,,,Rasmussen-2
  1.0,1,North Dakota,,25,70,,Jan 01,,,,,,,,Estimate-1
299.5,4,Ohio,,40,53,,Oct 28,,,,,,,,YouGov-4
297.0,5,Ohio,,37,52,,Oct 26,,,,,,,,SurveyUSA-5
294.0,7,Ohio,,36,53,,Oct 24,,,,,,,,Quinnipiac U.-7
290.0,5,Ohio,,40,55,,Oct 19,,,,,,,,Opinion Research-5
289.0,5,Ohio,,39,58,,Oct 18,,,,,,,,U. of Cincinnati-5
287.5,6,Ohio,,34,55,,Oct 17,,,,,,,,Quinnipiac U.-6
284.0,1,Ohio,,34,57,,Oct 11,,,,,,,,Rasmussen-1
283.5,6,Ohio,,36,58,,Oct 13,,,,,,,,U. of Cincinnati-6
282.0,1,Ohio,,35,52,,Oct 09,,,,,,,,Pulse Opinion Research-1
279.5,4,Ohio,,43,52,,Oct 08,,,,,,,,Angus Reid Public Opinion-4
278.0,3,Ohio,,37,47,,Oct 06,,,,,,,,Suffolk U.-3
275.0,1,Ohio,,37,53,,Oct 02,,,,,,,,Pulse Opinion Research-1
274.0,5,Ohio,,36,55,,Oct 03,,,,,,,,Quinnipiac U.-5
270.0,1,Ohio,,42,51,,Sep 27,,,,,,,,Rasmussen-1
268.0,1,Ohio,,37,50,,Sep 25,,,,,,,,Pulse Opinion Research-1
268.0,5,Ohio,,34,45,,Sep 27,,,,,,,,CBS News-5
267.0,3,Ohio,,37,50,,Sep 25,,,,,,,,IPSOS-3
261.0,1,Ohio,,36,49,,Sep 18,,,,,,,,Pulse Opinion Res.-1
261.0,5,Ohio,,40,55,,Sep 20,,,,,,,,U. of Cincinnati-5
256.0,1,Ohio,,41,49,,Sep 13,,,,,,,,Rasmussen-1
255.0,5,Ohio,,41,52,,Sep 14,,,,,,,,Opinion Research-5
254.5,4,Ohio,,40,49,,Sep 13,,,,,,,,SurveyUSA-4
254.5,6,Ohio,,35,55,,Sep 14,,,,,,,,Quinnipiac U.-6
254.0,1,Ohio,,41,48,,Sep 11,,,,,,,,Pulse Opinion Res.-1
242.0,1,Ohio,,39,44,,Aug 30,,,,,,,,Rasmussen-1
241.5,10,Ohio,,37,50,,Sep 03,,,,,,,,Columbus Dispatch-10
240.0,3,Ohio,,38,45,,Aug 29,,,,,,,,PPP-3
228.0,1,Ohio,,37,45,,Aug 16,,,,,,,,Rasmussen-1
219.0,3,Ohio,,36,43,,Aug 08,,,,,,,,IPSOS-3
214.0,1,Ohio,,40,44,,Aug 02,,,,,,,,Rasmussen-1
200.0,1,Ohio,,39,45,,Jul 19,,,,,,,,Rasmussen-1
180.0,1,Ohio,,39,43,,Jun 29,,,,,,,,Rasmussen-1
177.5,2,Ohio,,40,38,,Jun 27,,,,,,,,PPP-2
175.5,6,Ohio,,42,40,,Jun 27,,,,,,,,Quinnipiac U.-6
154.0,1,Ohio,,43,43,,Jun 03,,,,,,,,Rasmussen-1
135.5,10,Ohio,,47,46,,May 20,,,,,,,,U. of Cincinnati-10
125.0,1,Ohio,,43,42,,May 05,,,,,,,,Rasmussen-1
113.5,6,Ohio,,40,37,,Apr 26,,,,,,,,Quinnipiac U.-6
 89.0,1,Ohio,,38,43,,Mar 30,,,,,,,,Rasmussen-1
 85.0,7,Ohio,,41,37,,Mar 29,,,,,,,,Quinnipiac U.-7
 79.5,2,Ohio,,36,41,,Mar 21,,,,,,,,PPP-2
 63.0,1,Ohio,,39,44,,Mar 04,,,,,,,,Rasmussen-1
 49.5,6,Ohio,,37,40,,Feb 21,,,,,,,,Quinnipiac U.-6
 36.5,2,Ohio,,39,43,,Feb 06,,,,,,,,Rasmussen-2
 12.0,1,Ohio,,37,44,,Jan 12,,,,,,,,Rasmussen-1
  8.5,6,Ohio,,31,37,,Jan 11,,,,,,,,Polimetrix-6
293.5,6,Oklahoma,,24,67,,Oct 23,,,,,,,,Sooner Poll-6
278.0,5,Oklahoma,,22,62,,Oct 07,,,,,,,,Sooner Poll-5
266.0,1,Oklahoma,,26,68,,Sep 23,,,,,,,,Rasmussen-1
238.0,1,Oklahoma,,24,67,,Aug 26,,,,,,,,Rasmussen-1
209.0,1,Oklahoma,,31,65,,Jul 28,,,,,,,,Rasmussen-1
181.0,1,Oklahoma,,26,65,,Jun 30,,,,,,,,Rasmussen-1
  1.0,1,Oklahoma,,41,53,,Jan 01,,,,,,,,2004 Election-1
298.5,6,Oregon,,57,32,,Oct 28,,,,,,,,SurveyUSA-6
298.0,1,Oregon,,53,42,,Oct 25,,,,,,,,Rasmussen-1
289.0,3,Oregon,,56,40,,Oct 17,,,,,,,,PPP-3
286.0,3,Oregon,,56,34,,Oct 14,,,,,,,,SurveyUSA-3
283.0,1,Oregon,,52,36,,Oct 10,,,,,,,,Rasmussen-1
256.0,3,Oregon,,54,38,,Sep 14,,,,,,,,SurveyUSA-3
251.0,1,Oregon,,53,35,,Sep 08,,,,,,,,Rasmussen-1
234.0,1,Oregon,,56,36,,Aug 22,,,,,,,,Rasmussen-1
207.0,1,Oregon,,51,35,,Jul 26,,,,,,,,Rasmussen-1
207.0,3,Oregon,,53,35,,Jul 27,,,,,,,,SurveyUSA-3
172.0,1,Oregon,,50,32,,Jun 21,,,,,,,,Davis+Hibbits+Midghall-1
168.0,1,Oregon,,47,37,,Jun 17,,,,,,,,Rasmussen-1
159.0,3,Oregon,,51,38,,Jun 09,,,,,,,,SurveyUSA-3
144.0,1,Oregon,,51,38,,May 24,,,,,,,,Rasmussen-1
 47.0,1,Oregon,,49,35,,Feb 16,,,,,,,,Rasmussen-1
301.0,1,Pennsylvania,,46,50,,Oct 28,,,,,,,,Rasmussen-1
300.0,3,Pennsylvania,,45,52,,Oct 28,,,,,,,,Marist Coll.-3
299.5,4,Pennsylvania,,44,50,,Oct 28,,,,,,,,YouGov-4
298.5,4,Pennsylvania,,40,48,,Oct 27,,,,,,,,Muhlenberg Coll.-4
296.0,3,Pennsylvania,,46,46,,Oct 24,,,,,,,,IPSOS-3
296.0,7,Pennsylvania,,45,49,,Oct 26,,,,,,,,Opinion Research-7
294.5,4,Pennsylvania,,43,46,,Oct 23,,,,,,,,Muhlenberg Coll.-4
294.0,1,Pennsylvania,,44,48,,Oct 21,,,,,,,,Rasmussen-1
294.0,7,Pennsylvania,,40,48,,Oct 24,,,,,,,,Franklin+Marshall Coll.-7
290.5,2,Pennsylvania,,46,45,,Oct 18,,,,,,,,PPP-2
290.5,4,Pennsylvania,,44,41,,Oct 19,,,,,,,,Muhlenberg Coll.-4
288.0,5,Pennsylvania,,46,48,,Oct 17,,,,,,,,Quinnipiac U.-5
285.0,1,Pennsylvania,,39,49,,Oct 12,,,,,,,,Rasmussen-1
277.0,1,Pennsylvania,,42,51,,Oct 04,,,,,,,,Marist Coll.-1
274.0,7,Pennsylvania,,38,45,,Oct 04,,,,,,,,Muhlenberg Coll.-7
272.0,1,Pennsylvania,,40,49,,Sep 29,,,,,,,,Rasmussen-1
270.0,3,Pennsylvania,,42,51,,Sep 28,,,,,,,,Marist Coll.-3
268.5,4,Pennsylvania,,40,45,,Sep 27,,,,,,,,Suffolk U.-4
266.0,7,Pennsylvania,,29,38,,Sep 26,,,,,,,,Franklin+Marshall Coll.-7
263.5,6,Pennsylvania,,39,44,,Sep 23,,,,,,,,Muhlenberg Coll.-6
262.0,5,Pennsylvania,,44,49,,Sep 21,,,,,,,,Opinion Research-5
261.0,1,Pennsylvania,,40,48,,Sep 18,,,,,,,,Pulse Opinion Res.-1
260.0,5,Pennsylvania,,43,50,,Sep 19,,,,,,,,Quinnipiac U.-5
258.5,2,Pennsylvania,,36,45,,Sep 16,,,,,,,,Municipoll-2
258.0,3,Pennsylvania,,36,40,,Sep 16,,,,,,,,Critical Insights-3
256.0,1,Pennsylvania,,39,49,,Sep 13,,,,,,,,Rasmussen-1
254.0,1,Pennsylvania,,41,47,,Sep 11,,,,,,,,Pulse Opinion Res.-1
242.0,1,Pennsylvania,,39,45,,Aug 30,,,,,,,,Rasmussen-1
240.0,3,Pennsylvania,,37,47,,Aug 29,,,,,,,,IPSOS-3
231.5,8,Pennsylvania,,31,40,,Aug 23,,,,,,,,Franklin+Marshall Coll.-8
228.0,1,Pennsylvania,,37,46,,Aug 16,,,,,,,,Rasmussen-1
227.0,3,Pennsylvania,,36,45,,Aug 16,,,,,,,,PPP-3
209.0,1,Pennsylvania,,39,45,,Jul 28,,,,,,,,Rasmussen-1
195.0,1,Pennsylvania,,38,45,,Jul 14,,,,,,,,Rasmussen-1
189.5,6,Pennsylvania,,43,43,,Jul 11,,,,,,,,Quinnipiac U.-6
180.0,1,Pennsylvania,,39,45,,Jun 29,,,,,,,,Rasmussen-1
171.0,3,Pennsylvania,,41,41,,Jun 21,,,,,,,,PPP-3
153.0,1,Pennsylvania,,38,45,,Jun 02,,,,,,,,Rasmussen-1
139.0,1,Pennsylvania,,46,42,,May 19,,,,,,,,Rasmussen-1
127.0,7,Pennsylvania,,40,42,,May 10,,,,,,,,Quinnipiac U.-7
126.0,1,Pennsylvania,,40,42,,May 06,,,,,,,,Rasmussen-1
126.0,7,Pennsylvania,,28,29,,May 09,,,,,,,,Franklin+Marshall Coll.-7
102.0,1,Pennsylvania,,36,47,,Apr 12,,,,,,,,Rasmussen-1
 92.5,10,Pennsylvania,,22,31,,Apr 07,,,,,,,,Muhlenberg Coll.-10
 92.0,7,Pennsylvania,,34,42,,Apr 05,,,,,,,,Quinnipiac U.-7
 89.5,4,Pennsylvania,,36,42,,Apr 01,,,,,,,,PPP-4
 77.0,7,Pennsylvania,,19,27,,Mar 21,,,,,,,,Franklin+Marshall Coll.-7
 74.0,1,Pennsylvania,,37,42,,Mar 15,,,,,,,,Rasmussen-1
 56.0,7,Pennsylvania,,36,39,,Feb 28,,,,,,,,Quinnipiac U.-7
 49.0,7,Pennsylvania,,20,38,,Feb 21,,,,,,,,Franklin+Marshall Coll.-7
 39.0,1,Pennsylvania,,35,43,,Feb 08,,,,,,,,Rasmussen-1
 21.0,7,Pennsylvania,,19,41,,Jan 24,,,,,,,,Franklin+Marshall Coll.-7
 18.0,1,Pennsylvania,,35,43,,Jan 18,,,,,,,,Rasmussen-1
  8.5,6,Pennsylvania,,33,37,,Jan 11,,,,,,,,Polimetrix-6
292.0,1,South Carolina,,21,58,,Oct 19,,,,,,,,Rasmussen-1
280.5,6,South Carolina,,11,58,,Oct 10,,,,,,,,Winthrop U.-6
273.0,1,South Carolina,,23,56,,Sep 30,,,,,,,,Crantford Associates-1
265.0,1,South Carolina,,21,64,,Sep 22,,,,,,,,Rasmussen-1
237.0,1,South Carolina,,19,63,,Aug 25,,,,,,,,Rasmussen-1
210.0,1,South Carolina,,20,62,,Jul 29,,,,,,,,Rasmussen-1
161.0,1,South Carolina,,21,58,,Jun 10,,,,,,,,Rasmussen-1
  1.0,1,South Carolina,,44,54,,Jan 01,,,,,,,,2004 Election-1
306.0,1,South Dakota,,0,99,,Nov 02,,,,,,,,No Democrat is running-1
299.0,3,Utah,,32,48,,Oct 27,,,,,,,,Mason Dixon-3
286.0,1,Utah,,28,61,,Oct 13,,,,,,,,Rasmussen-1
285.0,3,Utah,,31,53,,Oct 13,,,,,,,,Dan Jones-3
263.0,1,Utah,,25,52,,Sep 20,,,,,,,,Dan Jones-1
253.0,7,Utah,,24,52,,Sep 13,,,,,,,,Howey Gauge-7
253.0,7,Utah,,25,52,,Sep 13,,,,,,,,Dan Jones-7
235.0,1,Utah,,29,54,,Aug 23,,,,,,,,Rasmussen-1
174.0,1,Utah,,28,58,,Jun 23,,,,,,,,Rasmussen-1
  1.0,1,Utah,,28,69,,Jan 01,,,,,,,,2004 Election-1
285.0,3,Vermont,,61,27,,Oct 13,,,,,,,,Mason Dixon-3
256.0,1,Vermont,,62,32,,Sep 13,,,,,,,,Rasmussen-1
168.0,1,Vermont,,64,29,,Jun 17,,,,,,,,Rasmussen-1
  1.0,1,Vermont,,71,25,,Jan 01,,,,,,,,2004 Election-1
300.0,3,Washington,,49,48,,Oct 28,,,,,,,,Marist Coll.-3
299.0,1,Washington,,47,48,,Oct 26,,,,,,,,Rasmussen-1
298.5,4,Washington,,47,47,,Oct 27,,,,,,,,SurveyUSA-4
296.0,11,Washington,,49,45,,Oct 28,,,,,,,,U. of Washington-11
292.0,3,Washington,,48,47,,Oct 20,,,,,,,,Marist Coll.-3
290.0,1,Washington,,49,46,,Oct 17,,,,,,,,Rasmussen-1
288.0,3,Washington,,49,47,,Oct 16,,,,,,,,PPP-3
285.5,4,Washington,,50,47,,Oct 14,,,,,,,,SurveyUSA-4
283.0,5,Washington,,51,43,,Oct 12,,,,,,,,Opinion Research-5
282.5,10,Washington,,50,42,,Oct 14,,,,,,,,U. of Washington-10
282.0,1,Washington,,46,47,,Oct 09,,,,,,,,Pulse Opinion Research-1
282.0,5,Washington,,55,40,,Oct 11,,,,,,,,Elway Poll-5
279.0,1,Washington,,46,49,,Oct 06,,,,,,,,Rasmussen-1
271.0,1,Washington,,47,48,,Sep 28,,,,,,,,Rasmussen-1
268.0,1,Washington,,48,47,,Sep 25,,,,,,,,Pulse Opinion Research-1
263.0,3,Washington,,50,48,,Sep 21,,,,,,,,SurveyUSA-3
257.0,1,Washington,,51,46,,Sep 14,,,,,,,,Rasmussen-1
255.0,5,Washington,,53,44,,Sep 14,,,,,,,,Opinion Research-5
253.5,4,Washington,,50,41,,Sep 12,,,,,,,,Elway Poll-4
243.0,1,Washington,,47,50,,Aug 31,,,,,,,,Rasmussen-1
230.5,2,Washington,,45,52,,Aug 19,,,,,,,,SurveyUSA-2
230.0,1,Washington,,48,44,,Aug 18,,,,,,,,Rasmussen-1
210.5,6,Washington,,49,46,,Aug 01,,,,,,,,PPP-6
209.0,1,Washington,,49,47,,Jul 28,,,,,,,,Rasmussen-1
195.0,1,Washington,,45,48,,Jul 14,,,,,,,,Rasmussen-1
173.0,1,Washington,,47,47,,Jun 22,,,,,,,,Rasmussen-1
162.0,5,Washington,,47,40,,Jun 13,,,,,,,,Elway Poll-5
146.0,1,Washington,,48,47,,May 26,,,,,,,,Rasmussen-1
133.0,21,Washington,,42,40,,May 23,,,,,,,,U. of Washington-21
124.0,1,Washington,,48,46,,May 04,,,,,,,,Rasmussen-1
120.5,4,Washington,,51,34,,May 02,,,,,,,,Elway Poll-4
110.5,4,Washington,,42,52,,Apr 22,,,,,,,,SurveyUSA-4
 96.0,1,Washington,,48,46,,Apr 06,,,,,,,,Rasmussen-1
 68.0,1,Washington,,46,49,,Mar 09,,,,,,,,Rasmussen-1
 42.0,1,Washington,,46,48,,Feb 11,,,,,,,,Rasmussen-1
299.0,1,West Virginia,,49,46,,Oct 26,,,,,,,,Rasmussen-1
296.5,2,West Virginia,,50,44,,Oct 24,,,,,,,,PPP-2
296.0,1,West Virginia,,46,48,,Oct 23,,,,,,,,Pulse Opinion Research-1
292.0,1,West Virginia,,43,50,,Oct 19,,,,,,,,Rasmussen-1
291.5,4,West Virginia,,48,43,,Oct 20,,,,,,,,Global Strategy-4
